status,avgMeasuredTime,avgSpeed,extID,medianMeasuredTime,date,time,vehicleCount,X_id,REPORT_ID
OK,55,70,937,55,2014-02-14,01:00:00,0,260093,194905
OK,52,74,937,52,2014-02-14,01:15:00,1,261440,194905
OK,64,60,937,64,2014-02-14,01:25:00,1,262338,194905
OK,51,76,937,51,2014-02-14,01:35:00,0,263236,194905
OK,51,76,937,51,2014-02-14,01:45:00,0,264134,194905
OK,51,76,937,51,2014-02-14,01:55:00,0,265032,194905
OK,51,76,937,51,2014-02-14,02:05:00,0,265930,194905
OK,51,76,937,51,2014-02-14,02:15:00,0,266828,194905
OK,50,77,937,50,2014-02-14,02:25:00,0,267726,194905
OK,50,77,937,50,2014-02-14,02:35:00,0,268624,194905
OK,50,77,937,50,2014-02-14,02:45:00,0,269522,194905
OK,50,77,937,50,2014-02-14,02:55:00,0,270420,194905
OK,50,77,937,50,2014-02-14,03:05:00,0,271318,194905
OK,52,74,937,52,2014-02-14,03:15:00,3,272216,194905
OK,52,74,937,52,2014-02-14,03:25:00,0,273114,194905
OK,52,74,937,52,2014-02-14,03:35:00,0,274012,194905
OK,59,66,937,59,2014-02-14,03:45:00,1,274910,194905
OK,55,70,937,55,2014-02-14,03:55:00,1,275808,194905
OK,58,67,937,58,2014-02-14,04:05:00,2,276706,194905
OK,55,70,937,55,2014-02-14,04:15:00,3,277604,194905
OK,48,81,937,48,2014-02-14,04:25:00,0,278502,194905
OK,57,68,937,57,2014-02-14,04:35:00,8,279400,194905
OK,59,66,937,59,2014-02-14,04:45:00,10,280298,194905
OK,64,60,937,64,2014-02-14,04:55:00,9,281196,194905
OK,63,61,937,63,2014-02-14,05:05:00,3,282094,194905
OK,64,60,937,64,2014-02-14,05:15:00,6,282992,194905
OK,56,69,937,56,2014-02-14,05:25:00,10,283890,194905
OK,62,62,937,62,2014-02-14,05:35:00,15,284788,194905
OK,63,61,937,63,2014-02-14,05:45:00,19,285686,194905
OK,68,57,937,68,2014-02-14,05:55:00,23,286584,194905
OK,64,60,937,64,2014-02-14,06:05:00,22,287482,194905
OK,66,59,937,66,2014-02-14,06:15:00,18,288380,194905
OK,70,55,937,70,2014-02-14,06:25:00,19,289278,194905
OK,77,50,937,77,2014-02-14,06:35:00,24,290176,194905
OK,69,56,937,69,2014-02-14,06:45:00,20,291074,194905
OK,82,47,937,82,2014-02-14,06:55:00,26,291972,194905
OK,75,51,937,75,2014-02-14,07:05:00,20,292870,194905
OK,67,58,937,67,2014-02-14,07:15:00,20,293768,194905
OK,63,61,937,63,2014-02-14,07:25:00,20,294666,194905
OK,75,51,937,75,2014-02-14,07:35:00,17,295564,194905
OK,72,54,937,72,2014-02-14,07:45:00,15,296462,194905
OK,75,51,937,75,2014-02-14,07:55:00,15,297360,194905
OK,69,56,937,69,2014-02-14,08:05:00,14,298258,194905
OK,69,56,937,69,2014-02-14,08:15:00,22,299156,194905
OK,69,56,937,69,2014-02-14,08:25:00,19,300054,194905
OK,71,54,937,71,2014-02-14,08:35:00,23,300952,194905
OK,67,58,937,67,2014-02-14,08:45:00,19,301850,194905
OK,78,49,937,78,2014-02-14,08:55:00,19,302748,194905
OK,75,51,937,75,2014-02-14,09:05:00,22,303646,194905
OK,73,53,937,73,2014-02-14,09:15:00,24,304544,194905
OK,73,53,937,73,2014-02-14,09:25:00,24,305442,194905
OK,63,61,937,63,2014-02-14,09:35:00,11,306340,194905
OK,77,50,937,77,2014-02-14,09:45:00,25,307238,194905
OK,62,62,937,62,2014-02-14,09:55:00,19,308136,194905
OK,70,55,937,70,2014-02-14,10:05:00,15,309034,194905
OK,75,51,937,75,2014-02-14,10:15:00,24,309932,194905
OK,76,51,937,76,2014-02-14,10:25:00,20,310830,194905
OK,65,59,937,65,2014-02-14,10:35:00,25,311728,194905
OK,69,56,937,69,2014-02-14,10:45:00,19,312626,194905
OK,65,59,937,65,2014-02-14,10:55:00,19,313524,194905
OK,61,63,937,61,2014-02-14,11:05:00,17,314422,194905
OK,66,59,937,66,2014-02-14,11:15:00,15,315320,194905
OK,73,53,937,73,2014-02-14,11:25:00,22,316218,194905
OK,82,47,937,82,2014-02-14,11:35:00,20,317116,194905
OK,70,55,937,70,2014-02-14,11:45:00,23,318014,194905
OK,67,58,937,67,2014-02-14,11:55:00,14,318912,194905
OK,77,50,937,77,2014-02-14,12:05:00,24,319810,194905
OK,70,55,937,70,2014-02-14,12:15:00,19,320708,194905
OK,70,55,937,70,2014-02-14,12:25:00,17,321606,194905
OK,68,57,937,68,2014-02-14,12:35:00,15,322504,194905
OK,81,48,937,81,2014-02-14,12:45:00,24,323402,194905
OK,83,46,937,83,2014-02-14,12:55:00,13,324300,194905
OK,63,61,937,63,2014-02-14,13:05:00,21,325198,194905
OK,85,45,937,85,2014-02-14,13:15:00,16,326096,194905
OK,76,51,937,76,2014-02-14,13:25:00,20,326994,194905
OK,71,54,937,71,2014-02-14,13:35:00,19,327892,194905
OK,79,49,937,79,2014-02-14,13:45:00,27,328790,194905
OK,70,55,937,70,2014-02-14,13:55:00,25,329688,194905
OK,78,49,937,78,2014-02-14,14:05:00,18,330586,194905
OK,69,56,937,69,2014-02-14,14:15:00,16,331484,194905
OK,74,52,937,74,2014-02-14,14:25:00,18,332382,194905
OK,75,51,937,75,2014-02-14,14:35:00,18,333280,194905
OK,66,59,937,66,2014-02-14,14:45:00,17,334178,194905
OK,65,59,937,65,2014-02-14,14:55:00,14,335076,194905
OK,73,53,937,73,2014-02-14,15:05:00,11,335974,194905
OK,77,50,937,77,2014-02-14,15:15:00,26,336872,194905
OK,79,49,937,79,2014-02-14,15:25:00,19,337770,194905
OK,86,45,937,86,2014-02-14,15:35:00,13,338668,194905
OK,86,45,937,86,2014-02-14,15:45:00,8,339566,194905
OK,73,53,937,73,2014-02-14,15:55:00,20,340464,194905
OK,69,56,937,69,2014-02-14,16:05:00,14,341362,194905
OK,73,53,937,73,2014-02-14,16:15:00,7,342260,194905
OK,72,54,937,72,2014-02-14,16:25:00,28,343158,194905
OK,70,55,937,70,2014-02-14,16:35:00,19,344056,194905
OK,82,47,937,82,2014-02-14,16:45:00,5,344954,194905
OK,70,55,937,70,2014-02-14,16:55:00,12,345852,194905
OK,68,57,937,68,2014-02-14,17:05:00,7,346750,194905
OK,71,54,937,71,2014-02-14,17:15:00,18,347648,194905
OK,67,58,937,67,2014-02-14,17:25:00,9,348546,194905
OK,73,53,937,73,2014-02-14,17:35:00,14,349444,194905
OK,68,57,937,68,2014-02-14,17:45:00,10,350342,194905
OK,67,58,937,67,2014-02-14,17:55:00,12,351240,194905
OK,55,70,937,55,2014-02-14,18:05:00,5,352138,194905
OK,63,61,937,63,2014-02-14,18:15:00,11,353036,194905
OK,62,62,937,62,2014-02-14,18:25:00,4,353934,194905
OK,64,60,937,64,2014-02-14,18:35:00,6,354832,194905
OK,63,61,937,63,2014-02-14,18:45:00,2,355730,194905
OK,60,64,937,60,2014-02-14,18:55:00,8,356628,194905
OK,58,67,937,58,2014-02-14,19:05:00,2,357526,194905
OK,61,63,937,61,2014-02-14,19:15:00,4,358424,194905
OK,63,61,937,63,2014-02-14,19:25:00,7,359322,194905
OK,69,56,937,69,2014-02-14,19:35:00,0,360220,194905
OK,58,67,937,58,2014-02-14,19:45:00,2,361118,194905
OK,57,68,937,57,2014-02-14,19:55:00,1,362016,194905
OK,65,59,937,65,2014-02-14,20:05:00,1,362914,194905
OK,50,77,937,50,2014-02-14,20:15:00,3,363812,194905
OK,65,59,937,65,2014-02-14,20:25:00,5,364710,194905
OK,60,64,937,60,2014-02-14,20:35:00,4,365608,194905
OK,54,72,937,54,2014-02-14,20:45:00,5,366506,194905
OK,67,58,937,67,2014-02-14,20:55:00,3,367404,194905
OK,64,60,937,64,2014-02-14,21:15:00,8,369057,194905
OK,58,67,937,58,2014-02-14,22:05:00,3,373339,194905
OK,55,70,937,55,2014-02-14,22:20:00,3,374686,194905
OK,46,84,937,46,2014-02-14,23:00:00,0,378080,194905
OK,51,76,937,51,2014-02-14,23:25:00,2,380300,194905
