status,avgMeasuredTime,avgSpeed,extID,medianMeasuredTime,date,time,vehicleCount,X_id,REPORT_ID
OK,95,49,813,95,2014-02-25,00:00:00,0,1659744,198031
OK,95,49,813,95,2014-02-25,00:10:00,0,1660641,198031
OK,95,49,813,95,2014-02-25,00:20:00,0,1661539,198031
OK,95,49,813,95,2014-02-25,00:30:00,0,1662437,198031
OK,95,49,813,95,2014-02-25,00:40:00,0,1663335,198031
OK,95,49,813,95,2014-02-25,00:50:00,0,1664233,198031
OK,95,49,813,95,2014-02-25,01:00:00,0,1665131,198031
OK,95,49,813,95,2014-02-25,01:10:00,0,1666029,198031
OK,95,49,813,95,2014-02-25,01:20:00,0,1666927,198031
OK,95,49,813,95,2014-02-25,01:30:00,0,1667825,198031
OK,95,49,813,95,2014-02-25,01:40:00,0,1668723,198031
OK,95,49,813,95,2014-02-25,01:50:00,0,1669621,198031
OK,95,49,813,95,2014-02-25,02:00:00,0,1670519,198031
OK,95,49,813,95,2014-02-25,02:10:00,0,1671417,198031
OK,95,49,813,95,2014-02-25,02:20:00,0,1672315,198031
OK,95,49,813,95,2014-02-25,02:30:00,0,1673213,198031
OK,95,49,813,95,2014-02-25,02:40:00,0,1674111,198031
OK,95,49,813,95,2014-02-25,02:50:00,0,1675009,198031
OK,95,49,813,95,2014-02-25,03:00:00,0,1675907,198031
OK,95,49,813,95,2014-02-25,03:10:00,0,1676805,198031
OK,95,49,813,95,2014-02-25,03:20:00,0,1677703,198031
OK,95,49,813,95,2014-02-25,03:30:00,0,1678601,198031
OK,95,49,813,95,2014-02-25,03:40:00,0,1679499,198031
OK,95,49,813,95,2014-02-25,03:50:00,0,1680397,198031
OK,73,64,813,73,2014-02-25,04:00:00,2,1681295,198031
OK,68,69,813,68,2014-02-25,04:10:00,1,1682193,198031
OK,73,64,813,73,2014-02-25,04:20:00,0,1683091,198031
OK,71,66,813,71,2014-02-25,04:30:00,1,1683989,198031
OK,71,66,813,71,2014-02-25,04:40:00,0,1684887,198031
OK,98,48,813,98,2014-02-25,04:50:00,1,1685785,198031
OK,77,61,813,77,2014-02-25,05:00:00,0,1686683,198031
OK,77,61,813,77,2014-02-25,05:10:00,0,1687581,198031
OK,83,57,813,83,2014-02-25,05:20:00,2,1688479,198031
OK,103,46,813,103,2014-02-25,05:30:00,7,1689377,198031
OK,76,62,813,76,2014-02-25,05:40:00,3,1690275,198031
OK,86,55,813,86,2014-02-25,05:50:00,9,1691173,198031
OK,104,45,813,104,2014-02-25,06:00:00,5,1692071,198031
OK,114,41,813,114,2014-02-25,06:10:00,7,1692969,198031
OK,110,43,813,110,2014-02-25,06:20:00,9,1693867,198031
OK,107,44,813,107,2014-02-25,06:30:00,3,1694765,198031
OK,95,49,813,95,2014-02-25,06:40:00,12,1695663,198031
OK,114,41,813,114,2014-02-25,06:50:00,5,1696561,198031
OK,102,46,813,102,2014-02-25,07:00:00,9,1697459,198031
OK,99,47,813,99,2014-02-25,07:10:00,8,1698357,198031
OK,110,43,813,110,2014-02-25,07:20:00,3,1699255,198031
OK,119,39,813,119,2014-02-25,07:30:00,6,1700153,198031
OK,85,55,813,85,2014-02-25,07:40:00,10,1701051,198031
OK,86,55,813,86,2014-02-25,07:50:00,11,1701949,198031
OK,106,44,813,106,2014-02-25,08:00:00,4,1702847,198031
OK,88,53,813,88,2014-02-25,08:10:00,1,1703745,198031
OK,116,40,813,116,2014-02-25,08:20:00,7,1704643,198031
