status,avgMeasuredTime,avgSpeed,extID,medianMeasuredTime,date,time,vehicleCount,X_id,REPORT_ID
OK,702,7,740,702,2014-02-15,00:00:00,1,382835,178929
OK,237,22,740,237,2014-02-15,00:10:00,1,383493,178929
OK,229,23,740,229,2014-02-15,00:20:00,1,384375,178929
OK,253,21,740,253,2014-02-15,00:30:00,1,385163,178929
OK,264,20,740,264,2014-02-15,00:40:00,0,386041,178929
OK,264,20,740,264,2014-02-15,00:50:00,0,386691,178929
OK,264,20,740,264,2014-02-15,01:00:00,0,387462,178929
OK,219,24,740,219,2014-02-15,01:10:00,1,388360,178929
OK,219,24,740,219,2014-02-15,01:20:00,0,389258,178929
OK,219,24,740,219,2014-02-15,01:30:00,0,390156,178929
OK,316,16,740,316,2014-02-15,01:40:00,2,391054,178929
OK,264,20,740,264,2014-02-15,01:50:00,0,391952,178929
OK,264,20,740,264,2014-02-15,02:00:00,0,392850,178929
OK,264,20,740,264,2014-02-15,02:10:00,0,393748,178929
OK,264,20,740,264,2014-02-15,02:20:00,0,394646,178929
OK,264,20,740,264,2014-02-15,02:30:00,0,395544,178929
OK,264,20,740,264,2014-02-15,02:40:00,0,396442,178929
OK,264,20,740,264,2014-02-15,02:50:00,0,397340,178929
OK,264,20,740,264,2014-02-15,03:00:00,0,398238,178929
OK,264,20,740,264,2014-02-15,03:10:00,0,399136,178929
OK,264,20,740,264,2014-02-15,03:20:00,0,400034,178929
OK,449,11,740,449,2014-02-15,03:30:00,1,400932,178929
OK,241,22,740,241,2014-02-15,03:40:00,1,401830,178929
OK,299,17,740,299,2014-02-15,03:50:00,1,402728,178929
OK,299,17,740,299,2014-02-15,04:00:00,0,403626,178929
OK,340,15,740,340,2014-02-15,04:10:00,1,404524,178929
OK,340,15,740,340,2014-02-15,04:20:00,0,405422,178929
OK,188,28,740,188,2014-02-15,04:30:00,1,406320,178929
OK,188,28,740,188,2014-02-15,04:40:00,0,407218,178929
OK,188,28,740,188,2014-02-15,04:50:00,0,408116,178929
OK,218,24,740,218,2014-02-15,05:00:00,2,409014,178929
OK,246,21,740,246,2014-02-15,05:10:00,0,409889,178929
OK,246,21,740,246,2014-02-15,05:20:00,0,410749,178929
OK,246,21,740,246,2014-02-15,05:30:00,0,411578,178929
