status,avgMeasuredTime,avgSpeed,extID,medianMeasuredTime,date,time,vehicleCount,X_id,REPORT_ID
OK,75,29,627,75,2014-02-18,00:00:00,0,767978,204247
OK,75,29,627,75,2014-02-18,00:10:00,0,768876,204247
OK,75,29,627,75,2014-02-18,00:20:00,0,769774,204247
OK,75,29,627,75,2014-02-18,00:30:00,0,770672,204247
OK,103,21,627,103,2014-02-18,00:40:00,2,771570,204247
OK,73,30,627,73,2014-02-18,00:50:00,0,772468,204247
OK,114,19,627,114,2014-02-18,01:00:00,1,773366,204247
OK,114,19,627,114,2014-02-18,01:10:00,0,774264,204247
OK,114,19,627,114,2014-02-18,01:20:00,0,775162,204247
OK,114,19,627,114,2014-02-18,01:30:00,0,776060,204247
OK,114,19,627,114,2014-02-18,01:40:00,0,776958,204247
OK,114,19,627,114,2014-02-18,01:50:00,0,777856,204247
OK,114,19,627,114,2014-02-18,02:00:00,0,778754,204247
OK,114,19,627,114,2014-02-18,02:10:00,0,779652,204247
OK,114,19,627,114,2014-02-18,02:20:00,0,780550,204247
OK,114,19,627,114,2014-02-18,02:30:00,0,781448,204247
OK,114,19,627,114,2014-02-18,02:40:00,0,782346,204247
OK,114,19,627,114,2014-02-18,02:50:00,0,783244,204247
OK,114,19,627,114,2014-02-18,03:00:00,0,784142,204247
OK,114,19,627,114,2014-02-18,03:10:00,0,785040,204247
OK,114,19,627,114,2014-02-18,03:20:00,0,785938,204247
OK,114,19,627,114,2014-02-18,03:30:00,0,786836,204247
OK,114,19,627,114,2014-02-18,03:40:00,0,787734,204247
OK,114,19,627,114,2014-02-18,03:50:00,0,788632,204247
OK,53,41,627,53,2014-02-18,04:00:00,1,789530,204247
OK,53,41,627,53,2014-02-18,04:10:00,0,790428,204247
OK,53,41,627,53,2014-02-18,04:20:00,0,791326,204247
OK,88,25,627,88,2014-02-18,04:30:00,1,792224,204247
OK,94,23,627,94,2014-02-18,04:40:00,2,793122,204247
OK,94,23,627,94,2014-02-18,04:50:00,0,794020,204247
OK,94,23,627,94,2014-02-18,05:00:00,0,794918,204247
OK,94,23,627,94,2014-02-18,05:10:00,0,795816,204247
OK,94,23,627,94,2014-02-18,05:20:00,0,796714,204247
OK,70,31,627,70,2014-02-18,05:30:00,1,797612,204247
OK,110,20,627,110,2014-02-18,05:40:00,1,798510,204247
OK,80,27,627,80,2014-02-18,05:50:00,3,799408,204247
OK,79,27,627,79,2014-02-18,06:00:00,4,800306,204247
OK,71,31,627,71,2014-02-18,06:10:00,6,801204,204247
OK,82,26,627,82,2014-02-18,06:20:00,10,802102,204247
OK,81,27,627,81,2014-02-18,06:30:00,15,803000,204247
OK,98,22,627,98,2014-02-18,06:40:00,14,803898,204247
OK,97,22,627,97,2014-02-18,06:50:00,9,804796,204247
OK,129,17,627,129,2014-02-18,07:00:00,20,805694,204247
OK,145,15,627,145,2014-02-18,07:10:00,17,806592,204247
OK,150,14,627,150,2014-02-18,07:20:00,17,807490,204247
OK,111,19,627,111,2014-02-18,07:30:00,17,808388,204247
OK,89,24,627,89,2014-02-18,07:40:00,6,809286,204247
OK,91,24,627,91,2014-02-18,07:50:00,20,810184,204247
OK,107,20,627,107,2014-02-18,08:00:00,11,811082,204247
OK,41,53,627,41,2014-02-18,08:10:00,3,811980,204247
OK,86,25,627,86,2014-02-18,08:20:00,2,812878,204247
OK,98,22,627,98,2014-02-18,08:30:00,9,813776,204247
OK,61,36,627,61,2014-02-18,08:40:00,5,814674,204247
OK,71,31,627,71,2014-02-18,08:50:00,1,815572,204247
OK,69,31,627,69,2014-02-18,09:00:00,5,816470,204247
OK,99,22,627,99,2014-02-18,09:10:00,2,817368,204247
OK,91,24,627,91,2014-02-18,09:20:00,3,818266,204247
OK,93,23,627,93,2014-02-18,09:30:00,6,819164,204247
OK,76,29,627,76,2014-02-18,09:40:00,8,820062,204247
OK,68,32,627,68,2014-02-18,09:50:00,8,820960,204247
OK,50,44,627,50,2014-02-18,10:00:00,1,821858,204247
OK,73,30,627,73,2014-02-18,10:10:00,6,822756,204247
OK,102,21,627,102,2014-02-18,10:20:00,2,823654,204247
OK,52,42,627,52,2014-02-18,10:30:00,2,824552,204247
OK,69,31,627,69,2014-02-18,10:40:00,2,825450,204247
OK,82,26,627,82,2014-02-18,10:50:00,3,826348,204247
OK,61,36,627,61,2014-02-18,11:00:00,5,827246,204247
OK,63,35,627,63,2014-02-18,11:10:00,1,828144,204247
OK,121,18,627,121,2014-02-18,11:20:00,5,829042,204247
OK,71,31,627,71,2014-02-18,11:30:00,3,829940,204247
OK,83,26,627,83,2014-02-18,11:40:00,3,830838,204247
OK,92,23,627,92,2014-02-18,11:50:00,4,831736,204247
OK,111,19,627,111,2014-02-18,12:00:00,2,832634,204247
OK,90,24,627,90,2014-02-18,12:10:00,2,833532,204247
OK,93,23,627,93,2014-02-18,12:20:00,8,834430,204247
OK,119,18,627,119,2014-02-18,12:30:00,1,835328,204247
OK,92,23,627,92,2014-02-18,12:40:00,4,836226,204247
OK,109,20,627,109,2014-02-18,12:50:00,4,837124,204247
OK,100,22,627,100,2014-02-18,13:00:00,8,838022,204247
OK,83,26,627,83,2014-02-18,13:10:00,6,838920,204247
OK,78,28,627,78,2014-02-18,13:20:00,2,839818,204247
OK,73,30,627,73,2014-02-18,13:30:00,6,840716,204247
OK,90,24,627,90,2014-02-18,13:40:00,5,841614,204247
OK,52,42,627,52,2014-02-18,13:50:00,0,842512,204247
OK,85,25,627,85,2014-02-18,14:00:00,2,843410,204247
OK,86,25,627,86,2014-02-18,14:10:00,6,844308,204247
OK,101,21,627,101,2014-02-18,14:20:00,4,845206,204247
OK,115,19,627,115,2014-02-18,14:30:00,7,846104,204247
OK,103,21,627,103,2014-02-18,14:40:00,5,847002,204247
OK,94,23,627,94,2014-02-18,14:50:00,7,847900,204247
OK,122,18,627,122,2014-02-18,15:00:00,8,848798,204247
OK,64,34,627,64,2014-02-18,15:10:00,6,849696,204247
OK,69,31,627,69,2014-02-18,15:20:00,6,850594,204247
OK,84,26,627,84,2014-02-18,15:30:00,7,851492,204247
